Category,Metric,Spark,Python
Dataset,Raw Row Count,23992355.0,23992355.0
Dataset,Clean Row Count,16803729.0,16803729.0
Model,RMSE,13.379,13.457
Model,R2,0.458,0.451
Runtime (s),Load Data,17.9,6.683
Runtime (s),Cleaning,23.22,70.568
Runtime (s),Join Pickup Zone,21.95,3.735
Runtime (s),Aggregation Zone Hour,0.05,1.486
Runtime (s),Aggregation Day Of Week,0.03,0.884
Runtime (s),Aggregation Payment Type,0.07,4.815
Runtime (s),Join Dropoff Zone Borough Flow,0.08,4.161
Runtime (s),Ml Training,35.66,54.624
Runtime (s),Ml Evaluation,13.31,1.192
Runtime (s),TOTAL,122.75,148.148
