PU_Borough,PU_Zone,pickup_hour,trip_count,avg_fare,avg_distance,avg_duration_min
Manhattan,Upper East Side South,15,73020,13.8,1.62,14.01
Manhattan,Upper East Side South,14,72253,13.8,1.69,13.78
Manhattan,Upper East Side South,17,71818,13.49,1.63,13.49
Manhattan,Midtown Center,18,71572,15.81,1.93,16.16
Manhattan,Upper East Side South,16,70716,13.79,1.65,14.01
Manhattan,Midtown Center,17,70445,16.98,2.04,17.86
Manhattan,Upper East Side South,18,68868,12.86,1.62,12.44
Manhattan,Upper East Side North,15,68510,13.79,1.7,13.76
Queens,JFK Airport,16,66779,67.91,16.43,58.23
Queens,JFK Airport,20,64975,61.96,15.62,35.87
Manhattan,Upper East Side South,13,64207,13.59,1.64,13.3
Manhattan,Midtown Center,19,64016,15.07,1.99,14.8
Manhattan,Midtown Center,16,62924,17.24,2.13,17.95
Manhattan,Upper East Side North,17,62715,13.46,1.75,13.07
Manhattan,Upper East Side South,12,62230,13.46,1.6,13.17
Queens,JFK Airport,19,61655,64.05,15.96,40.48
Queens,JFK Airport,22,61517,59.66,14.99,31.23
Manhattan,Upper East Side North,16,61222,13.79,1.74,13.66
Queens,JFK Airport,21,60864,59.46,15.01,31.92
Queens,JFK Airport,15,60547,67.51,16.05,57.31
Manhattan,Upper East Side North,18,59959,12.84,1.73,12.06
Manhattan,Upper East Side North,14,59622,13.68,1.89,13.19
Manhattan,Upper East Side North,12,59033,13.67,1.75,13.12
Manhattan,Midtown Center,20,57371,15.05,2.17,14.14
Manhattan,Midtown East,18,57293,15.55,1.97,15.74
Manhattan,Midtown Center,15,56667,17.76,2.24,18.18
Queens,JFK Airport,17,56418,66.87,16.22,53.66
Manhattan,Upper East Side North,13,56099,13.63,1.79,12.95
Manhattan,Upper East Side South,19,55936,12.46,1.69,11.51
Manhattan,Upper East Side South,11,55100,13.38,1.61,12.96
Manhattan,Midtown Center,14,54107,18.63,2.43,18.55
Manhattan,Upper East Side North,11,53818,13.79,1.76,13.29
Queens,JFK Airport,18,53713,65.12,16.03,46.58
Manhattan,Midtown East,17,53615,16.8,2.08,17.53
Queens,JFK Airport,23,52792,59.46,14.89,30.76
Manhattan,Midtown Center,21,51847,14.95,2.22,13.69
Queens,JFK Airport,14,51166,66.28,15.96,55.45
Manhattan,Upper East Side South,21,49868,12.53,1.87,10.87
Manhattan,Upper East Side North,10,49679,12.74,1.73,11.75
Manhattan,Upper East Side South,20,49331,12.45,1.8,11.07
Manhattan,Midtown Center,13,48784,18.31,2.41,17.89
Manhattan,Upper East Side South,10,47717,12.73,1.57,12.03
Manhattan,Lincoln Square East,21,47552,14.38,2.26,12.83
Manhattan,Midtown East,19,47550,14.72,2.04,14.11
Manhattan,Upper East Side North,9,47131,13.06,1.85,11.84
Manhattan,Times Sq/Theatre District,21,46559,15.72,2.3,14.72
Manhattan,Lincoln Square East,22,45990,15.07,2.4,13.43
Manhattan,Midtown Center,12,45177,18.13,2.39,17.56
Manhattan,Times Sq/Theatre District,22,44181,16.09,2.38,14.99
Queens,LaGuardia Airport,14,44003,48.42,9.67,38.47
Manhattan,Midtown North,18,43765,14.92,1.86,14.95
Manhattan,Upper East Side North,8,43687,13.57,1.99,12.23
Manhattan,Midtown East,16,42904,17.28,2.2,17.86
Manhattan,Lincoln Square East,18,42688,13.35,1.82,12.63
Queens,LaGuardia Airport,15,42567,48.7,9.55,39.72
Manhattan,Upper East Side North,19,42318,12.31,1.76,11.03
Manhattan,Upper East Side South,9,41669,12.45,1.58,11.52
Manhattan,Midtown Center,22,41016,15.15,2.29,13.71
Manhattan,Times Sq/Theatre District,18,40724,16.6,2.11,16.48
Manhattan,Midtown Center,11,40689,17.86,2.42,16.99
Manhattan,Midtown North,17,40207,16.17,1.99,16.59
Manhattan,Times Sq/Theatre District,17,40198,18.51,2.42,18.81
Manhattan,Penn Station/Madison Sq West,18,39944,17.42,2.2,17.87
Manhattan,Midtown East,20,39836,14.73,2.2,13.5
Manhattan,Lincoln Square East,17,39739,13.94,1.85,13.53
Manhattan,Penn Station/Madison Sq West,17,39735,18.1,2.2,19.14
Manhattan,Penn Station/Madison Sq West,13,39197,19.27,2.25,20.46
Queens,JFK Airport,13,38517,65.36,16.03,48.54
Manhattan,Penn Station/Madison Sq West,11,38177,18.57,2.1,19.64
Manhattan,Penn Station/Madison Sq West,19,37575,17.2,2.3,17.14
Manhattan,Midtown East,15,37541,17.73,2.29,18.01
Queens,LaGuardia Airport,16,37442,47.95,9.5,38.62
Manhattan,Union Sq,18,37185,14.31,1.82,14.44
Queens,JFK Airport,0,37115,58.72,14.75,28.76
Manhattan,Times Sq/Theatre District,16,36831,19.93,2.77,20.09
Manhattan,Midtown East,14,36466,18.24,2.38,18.32
Queens,LaGuardia Airport,21,36438,41.73,9.54,23.38
Manhattan,Penn Station/Madison Sq West,21,36235,17.06,2.49,16.3
Manhattan,Midtown North,19,36201,14.4,1.9,13.97
Manhattan,Times Sq/Theatre District,20,36103,15.4,2.21,14.53
Queens,LaGuardia Airport,17,36026,46.51,9.45,36.1
Manhattan,Lincoln Square East,16,35869,14.34,1.94,14.07
Queens,LaGuardia Airport,19,35678,43.06,9.56,26.86
Manhattan,Union Sq,19,35498,14.12,1.89,13.77
Manhattan,Penn Station/Madison Sq West,12,35434,18.96,2.16,20.13
Manhattan,Upper East Side South,22,35386,12.99,1.97,11.25
Manhattan,Lincoln Square East,19,35351,13.07,1.86,12.05
Manhattan,Times Sq/Theatre District,19,35264,15.66,2.08,15.15
Manhattan,Lincoln Square East,15,35241,14.52,1.99,14.28
Manhattan,Upper East Side South,8,35206,12.05,1.61,10.77
Manhattan,Union Sq,17,35088,15.01,1.85,15.59
Manhattan,Murray Hill,18,35008,15.34,2.0,15.28
Manhattan,Midtown North,16,34999,16.89,2.17,17.16
Queens,LaGuardia Airport,18,34897,44.9,9.54,31.59
Manhattan,Penn Station/Madison Sq West,14,34880,18.99,2.32,20.01
Manhattan,Penn Station/Madison Sq West,15,34754,19.17,2.34,20.25
Queens,LaGuardia Airport,20,34727,41.98,9.53,24.24
Manhattan,Midtown East,13,34638,18.04,2.36,17.83
Manhattan,Upper West Side South,17,34636,13.28,1.83,12.53
Manhattan,Lincoln Square East,20,34468,13.51,2.06,12.11
Manhattan,Union Sq,20,34433,14.47,2.04,13.87
Manhattan,Penn Station/Madison Sq West,22,34291,17.59,2.64,16.47
Manhattan,Penn Station/Madison Sq West,16,34177,18.76,2.28,20.04
Manhattan,East Chelsea,18,34158,16.43,2.23,16.43
Manhattan,Murray Hill,17,34157,16.58,2.13,17.13
Manhattan,Penn Station/Madison Sq West,10,34093,17.74,2.02,18.67
Queens,LaGuardia Airport,23,34035,40.68,9.38,21.81
Manhattan,Midtown East,21,34017,14.71,2.27,13.08
Manhattan,Midtown East,12,33999,17.55,2.27,17.25
Manhattan,Union Sq,21,33840,14.9,2.18,14.07
Manhattan,Lincoln Square East,14,33817,14.42,1.99,13.82
Manhattan,Upper West Side South,14,33605,14.11,2.0,13.21
Manhattan,Upper West Side South,15,33528,13.83,1.89,13.15
Manhattan,Penn Station/Madison Sq West,20,33516,17.08,2.4,16.59
Manhattan,Upper West Side South,18,33453,12.75,1.77,11.8
Manhattan,Midtown North,21,32784,14.55,2.17,13.31
Manhattan,Midtown East,11,32735,17.16,2.22,16.88
Manhattan,Midtown Center,10,32711,17.55,2.35,16.53
Manhattan,Penn Station/Madison Sq West,9,32682,15.52,1.85,15.64
Manhattan,Upper West Side South,13,32618,14.1,2.03,13.03
Manhattan,Midtown North,15,32455,17.23,2.25,17.1
Manhattan,Upper West Side South,16,32410,13.77,1.9,13.12
Queens,LaGuardia Airport,22,32372,41.27,9.46,22.57
Queens,LaGuardia Airport,10,32348,48.23,11.07,37.36
Manhattan,East Chelsea,17,32345,17.31,2.32,17.83
Manhattan,Upper East Side North,20,32288,12.46,1.9,10.67
Manhattan,Midtown North,14,32224,17.87,2.39,17.39
Manhattan,Upper West Side South,12,31912,13.98,2.0,12.95
Manhattan,Lincoln Square East,13,31796,14.25,1.98,13.45
Manhattan,Union Sq,16,31728,15.36,1.88,15.99
Manhattan,Murray Hill,19,31693,14.7,2.12,13.94
Manhattan,Murray Hill,16,31150,17.62,2.35,18.1
Manhattan,East Chelsea,19,31145,16.34,2.33,15.8
Manhattan,Clinton East,21,31119,15.18,2.35,13.56
Manhattan,Lincoln Square East,12,31110,14.36,2.0,13.54
Manhattan,Clinton East,22,31079,15.62,2.46,13.86
Queens,LaGuardia Airport,13,30707,47.35,9.72,34.35
Manhattan,East Village,22,30580,15.52,2.37,14.28
Queens,LaGuardia Airport,12,30331,47.61,9.92,34.21
Manhattan,Midtown North,20,30329,14.42,2.06,13.45
Manhattan,Midtown East,10,30131,16.59,2.15,16.13
Manhattan,Midtown North,13,30070,17.82,2.44,16.99
Queens,JFK Airport,12,30039,64.24,15.84,44.89
Manhattan,Midtown North,22,29906,14.93,2.24,13.63
Manhattan,East Village,21,29879,15.66,2.37,14.64
Manhattan,Union Sq,15,29805,15.73,1.94,16.32
Manhattan,East Village,23,29769,14.91,2.33,13.39
Manhattan,Upper East Side North,7,29768,13.04,2.21,10.33
Manhattan,Murray Hill,14,29659,17.95,2.42,18.22
Manhattan,Lenox Hill West,18,29609,12.84,1.73,12.31
Manhattan,Murray Hill,15,29577,17.76,2.38,18.35
Manhattan,West Village,21,29450,15.71,2.28,15.05
Manhattan,Times Sq/Theatre District,15,29413,21.2,3.13,20.22
Manhattan,East Village,0,29327,14.5,2.33,12.55
Manhattan,Upper West Side South,11,29073,13.92,1.97,12.83
Manhattan,West Village,22,28895,15.62,2.29,14.79
Manhattan,Murray Hill,12,28854,17.27,2.29,17.19
Manhattan,East Chelsea,20,28778,16.44,2.43,15.62
Manhattan,Lenox Hill West,17,28744,13.18,1.7,13.06
Manhattan,Murray Hill,13,28695,17.71,2.37,17.61
Manhattan,Lenox Hill East,15,28668,16.88,2.43,17.83
Manhattan,Union Sq,14,28649,16.01,1.99,16.6
Manhattan,West Village,23,28475,15.1,2.32,13.88
Manhattan,Lincoln Square East,23,28212,15.2,2.53,13.17
Manhattan,East Chelsea,16,28175,18.01,2.43,18.75
Manhattan,Midtown North,12,28141,17.75,2.42,16.79
Manhattan,Lincoln Square East,11,28094,14.31,1.98,13.42
Manhattan,Murray Hill,20,28092,14.67,2.18,13.43
Queens,LaGuardia Airport,11,28073,48.46,9.88,35.83
Manhattan,Lenox Hill East,16,27986,16.15,2.35,16.98
Manhattan,Midtown East,9,27873,15.86,2.1,15.06
Manhattan,Lenox Hill West,15,27727,13.64,1.69,13.75
Manhattan,East Chelsea,15,27707,18.42,2.46,19.02
Manhattan,Penn Station/Madison Sq West,8,27688,13.92,1.75,13.51
Manhattan,Union Sq,22,27687,14.86,2.23,13.77
Manhattan,East Chelsea,21,27597,16.98,2.59,15.89
Manhattan,East Chelsea,13,27365,19.1,2.51,19.68
Manhattan,Upper West Side South,10,27323,13.79,1.98,12.55
Manhattan,Upper West Side South,19,27269,12.54,1.85,11.15
Manhattan,Lenox Hill West,14,27266,13.67,1.74,13.53
Manhattan,Murray Hill,11,27265,16.73,2.24,16.65
Manhattan,East Chelsea,14,27208,18.95,2.57,19.49
Manhattan,Lenox Hill East,17,27084,15.27,2.22,15.41
Manhattan,East Village,1,26757,14.32,2.35,12.29
Manhattan,Times Sq/Theatre District,14,26659,23.6,3.71,21.39
Manhattan,Midtown South,18,26658,15.2,2.26,15.05
Manhattan,Lenox Hill East,14,26534,16.76,2.67,17.21
Manhattan,Midtown Center,9,26384,17.18,2.36,15.69
Manhattan,Upper East Side North,21,26370,12.85,2.01,10.78
Manhattan,West Chelsea/Hudson Yards,18,26364,16.14,2.18,15.96
Manhattan,Upper West Side North,15,26329,13.87,1.92,13.37
Manhattan,Times Sq/Theatre District,23,26246,16.17,2.52,14.47
Manhattan,Lenox Hill West,12,26225,13.49,1.73,13.14
Manhattan,West Chelsea/Hudson Yards,17,26075,16.59,2.17,16.81
Manhattan,Lenox Hill West,16,26024,13.53,1.73,13.55
Manhattan,Union Sq,13,25964,15.88,1.95,16.35
Manhattan,Times Sq/Theatre District,13,25942,23.04,3.65,20.51
Manhattan,Lenox Hill West,13,25874,13.65,1.76,13.25
Manhattan,Midtown North,11,25863,17.54,2.4,16.46
Manhattan,Times Sq/Theatre District,11,25712,22.56,3.59,19.5
Manhattan,Murray Hill,10,25595,16.18,2.2,15.88
Manhattan,Lincoln Square East,10,25540,13.98,1.94,13.08
Manhattan,Clinton East,18,25322,14.72,1.97,14.16
Manhattan,Times Sq/Theatre District,12,25251,23.19,3.7,20.29
Manhattan,Central Park,15,25143,16.28,2.07,16.46
Manhattan,Lenox Hill West,19,25124,12.47,1.8,11.33
Manhattan,Midtown East,22,24937,14.64,2.3,12.84
Manhattan,Midtown South,17,24925,16.56,2.13,16.88
Manhattan,West Village,20,24887,15.23,2.13,14.85
Manhattan,Midtown South,19,24785,14.6,1.96,14.06
Manhattan,Lenox Hill East,12,24705,16.48,2.39,16.34
Manhattan,Lenox Hill West,11,24512,13.37,1.7,12.86
Manhattan,Clinton East,20,24475,14.68,2.2,13.32
Manhattan,West Village,0,24450,14.76,2.32,13.17
Queens,JFK Airport,7,24280,62.41,14.72,50.31
Manhattan,Central Park,16,24279,16.53,2.1,16.85
Queens,LaGuardia Airport,9,24244,48.35,10.04,38.36
Manhattan,Times Sq/Theatre District,10,24233,21.55,3.44,18.35
Manhattan,Murray Hill,21,24228,14.8,2.25,13.08
Manhattan,East Chelsea,11,24053,18.86,2.37,19.58
Manhattan,East Chelsea,12,24043,18.88,2.42,19.42
Manhattan,Lenox Hill East,11,23909,16.41,2.37,16.19
Manhattan,Lenox Hill East,13,23854,16.61,2.44,16.47
Manhattan,East Village,20,23803,14.8,2.17,13.92
Manhattan,Upper West Side South,21,23549,13.15,2.08,11.2
Queens,JFK Airport,11,23532,63.45,15.63,44.43
Manhattan,East Chelsea,22,23511,17.35,2.74,15.79
Manhattan,Central Park,14,23507,16.18,2.1,16.06
Manhattan,Midtown Center,23,23481,14.9,2.33,13.07
Manhattan,Lenox Hill East,18,23462,14.74,2.25,14.12
Manhattan,West Chelsea/Hudson Yards,16,23385,17.11,2.25,17.31
Manhattan,Midtown South,20,23384,14.96,2.15,14.12
Manhattan,Clinton East,19,23307,14.28,1.99,13.4
Manhattan,Upper West Side North,17,23267,13.04,1.89,12.04
Manhattan,Union Sq,12,23262,15.67,1.9,16.05
Manhattan,Midtown South,21,23253,15.24,2.26,14.07
Manhattan,Penn Station/Madison Sq West,7,23240,12.35,1.75,10.98
Manhattan,Lenox Hill West,10,23198,13.04,1.73,12.18
Manhattan,Upper West Side South,20,23154,12.43,1.92,10.62
Manhattan,Upper West Side North,14,23147,13.94,2.01,13.0
Manhattan,Midtown East,8,23119,14.78,2.11,13.23
